City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
257,Nakamura,JP,86.4,few clouds,32.9833,132.9333,Hotel Crown Hills Nakamura
259,Dublin,US,86.02,clear sky,37.7021,-121.9358,Larkspur Landing Pleasanton
260,Sola,VU,80.96,scattered clouds,-13.8833,167.55,Leumerus Bungalows
262,Yumen,CN,76.57,overcast clouds,40.2833,97.2,
263,Sibolga,ID,75.61,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
266,Cockburn Town,TC,82.36,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
267,Abu Samrah,SY,81.93,clear sky,35.3029,37.1841,
268,Seoul,KR,83.77,broken clouds,37.5683,126.9778,LOTTE HOTEL SEOUL
269,Moa,CU,80.11,overcast clouds,20.6569,-74.9403,Carmen
272,Marathon,US,83.73,clear sky,44.9,-89.7668,
274,San Quintin,MX,75.34,clear sky,30.4833,-115.95,Don Eddie's / Hotel - Restaurant
275,Lagos,NG,75.52,overcast clouds,6.5833,3.75,
276,Darnah,LY,79.0,clear sky,32.767,22.6367,فندق الفردوس
280,Kupang,ID,76.87,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
282,Moose Factory,CA,77.0,overcast clouds,51.2585,-80.6094,Cree Village Eco Lodge
284,Puerto Carreno,CO,84.18,broken clouds,6.189,-67.4859,Casa Hotel Victoria
285,Cayenne,GF,82.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
287,Dingle,PH,79.2,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
289,Roma,US,80.96,broken clouds,43.2128,-75.4557,Wingate By Wyndham Rome
291,Deori Khas,IN,77.67,broken clouds,23.4,79.0167,SAMARPAD COMPUTER DEORI
292,Manggar,ID,79.45,overcast clouds,-2.8833,108.2667,Guest Hotel
299,Luwuk,ID,75.94,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
301,Edd,ER,89.22,light rain,13.9297,41.6925,
306,Avera,US,85.37,overcast clouds,33.194,-82.5271,
313,Shangqiu,CN,85.75,clear sky,34.45,115.65,Thank Inn Chain Hotel henan shangqiu railway station ticket shop
317,Ixtapa,MX,85.23,broken clouds,20.7,-105.2,hotel la terminal
321,Garden City,US,84.15,scattered clouds,42.3256,-83.331,Big Trees Mobile Home Community
322,San Cristobal,VE,75.38,overcast clouds,7.7669,-72.225,Pirineos
323,Alexandria,EG,75.74,clear sky,31.2156,29.9553,Royal Crown Hotel
324,Buchanan,LR,75.4,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
327,Gazojak,TM,76.33,clear sky,41.1875,61.4036,
328,Nantucket,US,82.45,few clouds,41.2835,-70.0995,Jared Coffin House
329,Shenzhen,CN,82.85,overcast clouds,22.5455,114.0683,Grand Skylight
332,Crevenicu,RO,79.0,scattered clouds,44.2408,25.5886,Hotel la MANAE
334,Hamilton,US,82.35,few clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
337,Sao Goncalo Do Amarante,BR,80.13,clear sky,-3.6072,-38.9683,Sunshine Inn
340,Ziniare,BF,78.84,overcast clouds,12.5822,-1.2983,Privilège Hôtel de Ziniaré
343,Bud,US,82.9,scattered clouds,39.447,-86.1758,Ted McQuinn Trust
344,Ranong,TH,78.73,overcast clouds,9.9658,98.6348,Numsai Khaosuay Resort Ranong
345,Udalguri,IN,77.85,broken clouds,26.7667,92.1333,TREBLA
348,Kathu,TH,82.22,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
349,Pak Phanang,TH,82.42,overcast clouds,8.3511,100.202,Green Park Inn Hotel
350,Tianpeng,CN,81.72,clear sky,30.9866,103.9393,Shuangliu Love Home Business Hotel
352,Matay,EG,80.82,scattered clouds,28.419,30.7792,Nag Aespen
353,Wahiawa,US,82.15,overcast clouds,21.5028,-158.0236,The Inn At Schofield
355,Tual,ID,79.36,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
358,Cartagena,CO,82.02,scattered clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
359,Lander,US,82.8,scattered clouds,42.833,-108.7307,"Holiday Inn Express & Suites Lander, an IHG Hotel"
362,Katsuura,JP,76.3,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
363,Matara,LK,76.44,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
364,Oum Hadjer,TD,77.74,overcast clouds,13.2954,19.6966,
373,Eyl,SO,76.19,clear sky,7.9803,49.8164,Amiin Hotel
374,Sao Filipe,CV,77.58,scattered clouds,14.8961,-24.4956,Hotel Xaguate
376,Kalmunai,LK,77.11,overcast clouds,7.4167,81.8167,VS Villa
382,Tautira,PF,75.97,light rain,-17.7333,-149.15,Pension Oaoa
386,Sabang,ID,81.95,overcast clouds,5.8933,95.3214,Hotel Citra
388,Coos Bay,US,79.32,clear sky,43.3665,-124.2179,Best Western Holiday Hotel
391,Boa Vista,BR,80.58,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
392,Surt,LY,80.71,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
395,Zhangye,CN,77.5,broken clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
396,Pihuamo,MX,77.88,overcast clouds,19.2499,-103.3828,Hotel Primavera
398,Misratah,LY,80.69,clear sky,32.3754,15.0925,Almasa Hotel
400,Saint-Georges,GD,80.28,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
401,Fiumicino,IT,81.63,clear sky,41.7675,12.2291,Hotel Al Porticciolo
403,San Jose,US,87.85,clear sky,37.3394,-121.895,The Westin San Jose
406,Moindou,NC,79.0,clear sky,-21.6924,165.677,Equi-lodge de Moindou
409,Manzil Salim,TN,76.8,clear sky,35.8567,8.4765,mohamed ben khlil omri
410,Kudahuvadhoo,MV,81.88,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
411,Dongsheng,CN,77.0,broken clouds,39.8161,109.9776,Crowne Plaza Ordos
414,Calvia,ES,80.96,few clouds,39.5657,2.5062,Castell Son Claret
415,Nalut,LY,81.84,clear sky,30.3333,10.85,
416,Mabaruma,GY,75.6,scattered clouds,8.2,-59.7833,Monty Brooms Guest House
417,Corinth,GR,79.9,clear sky,37.9407,22.9573,Ephira Hotel
418,Khomeyn,IR,77.09,clear sky,33.6423,50.0789,فروشگاه رنگ و ابزار عصاری
419,Akyab,MM,80.06,overcast clouds,20.15,92.9,ဟိုတယ် မန်မိုရီ
422,Portobelo,PA,77.95,overcast clouds,9.55,-79.65,Scuba Portobelo
424,Naze,JP,83.32,overcast clouds,28.3667,129.4833,Shishime Hotel
425,Junagarh,IN,76.93,overcast clouds,19.8667,82.9333,Hotel Swagat
427,Ziyang,CN,83.34,overcast clouds,29.2497,117.8547,Wuyuan Great Wall Hotel
