City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Puro,PH,2022-08-04 01:25:58,12.4841,123.3827,83.41,74,100,2.01
68,Khash,IR,2022-08-04 01:25:59,28.2211,61.2158,76.35,22,0,3.98
69,Port Augusta,AU,2022-08-04 01:25:59,-32.5,137.7667,65.16,38,2,25.37
70,Vostok,RU,2022-08-04 01:25:59,46.4856,135.8833,75.2,72,97,2.53
71,Ukiah,US,2022-08-04 01:25:59,39.1502,-123.2078,96.69,34,0,4.0
72,Bambous Virieux,MU,2022-08-04 01:26:00,-20.3428,57.7575,68.25,73,40,5.75
73,Ushuaia,AR,2022-08-04 01:26:00,-54.8,-68.3,37.06,87,40,3.44
74,Tasiilaq,GL,2022-08-04 01:26:00,65.6145,-37.6368,39.09,71,100,3.2
75,Barrow,US,2022-08-04 01:26:01,71.2906,-156.7887,50.02,76,75,20.71
76,Ilulissat,GL,2022-08-04 01:26:01,69.2167,-51.1,50.02,57,75,2.3
77,Mabaruma,GY,2022-08-04 01:26:01,8.2,-59.7833,74.05,95,90,3.0
78,Acapulco,MX,2022-08-04 01:22:40,16.8634,-99.8901,84.02,74,40,3.44
79,New Norfolk,AU,2022-08-04 01:26:02,-42.7826,147.0587,58.91,75,1,3.0
80,Busselton,AU,2022-08-04 01:26:02,-33.65,115.3333,53.38,66,100,14.7
81,Shenjiamen,CN,2022-08-04 01:26:03,29.9576,122.298,84.43,81,0,16.71
82,Longyearbyen,SJ,2022-08-04 01:26:03,78.2186,15.6401,48.04,93,75,4.61
83,Chernyshevskiy,RU,2022-08-04 01:26:04,63.0128,112.4714,52.66,97,100,6.42
84,Hovd,MN,2022-08-04 01:26:04,48.0056,91.6419,69.03,40,100,1.9
85,Awbari,LY,2022-08-04 01:26:04,26.5921,12.7805,87.98,23,6,14.16
86,Machakos,KE,2022-08-04 01:26:05,-1.5167,37.2667,57.15,85,93,2.17
87,Nokha,IN,2022-08-04 01:26:05,27.6,73.4167,86.18,66,100,6.91
88,Hithadhoo,MV,2022-08-04 01:26:05,-0.6,73.0833,81.68,69,100,15.1
89,Sakakah,SA,2022-08-04 01:26:06,29.9697,40.2064,96.37,23,0,5.7
90,Meadow Lake,US,2022-08-04 01:26:34,34.8014,-106.5436,89.46,33,83,23.06
91,Wanning,CN,2022-08-04 01:27:07,18.8003,110.3967,83.52,78,100,4.9
92,Clyde River,CA,2022-08-04 01:23:38,70.4692,-68.5914,39.43,100,100,12.66
93,Cabo San Lucas,MX,2022-08-04 01:25:10,22.8909,-109.9124,92.61,48,0,9.22
94,Kaoma,ZM,2022-08-04 01:27:07,-14.7833,24.8,55.49,54,0,6.51
95,Keti Bandar,PK,2022-08-04 01:27:08,24.1447,67.4497,80.96,85,100,7.94
96,Numaran,MX,2022-08-04 01:27:08,20.25,-101.9333,70.75,68,82,3.58
97,Hobart,AU,2022-08-04 01:27:09,-42.8794,147.3294,59.25,61,20,10.36
98,Fortuna,US,2022-08-04 01:27:09,40.5982,-124.1573,70.09,71,20,11.5
99,Ibra,OM,2022-08-04 01:27:09,22.6906,58.5334,85.53,58,97,2.53
100,Kudat,MY,2022-08-04 01:27:10,6.8837,116.8477,84.13,79,20,3.44
101,Hasaki,JP,2022-08-04 01:27:10,35.7333,140.8333,77.29,81,100,13.71
102,Saint George,US,2022-08-04 01:23:47,37.1041,-113.5841,99.19,25,0,10.36
103,Banjar,ID,2022-08-04 01:27:11,-8.19,114.9675,82.71,54,17,3.56
104,San Ramon,US,2022-08-04 01:24:04,37.7799,-121.978,98.49,46,0,12.66
105,Orlik,RU,2022-08-04 01:27:11,52.5178,99.825,56.66,83,94,1.25
106,Carutapera,BR,2022-08-04 01:27:12,-1.195,-46.02,75.29,92,13,6.46
107,Flinders,AU,2022-08-04 01:27:12,-34.5833,150.8552,66.38,79,100,3.0
