City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
78,Rikitea,PF,-23.1203,-134.9692,70.59,61,15,18.41,few clouds
79,Atuona,PF,-9.8,-139.0333,77.47,73,49,14.09,scattered clouds
80,Bindura,ZW,-17.3019,31.3306,54.37,55,0,1.77,clear sky
81,Sao Felix Do Xingu,BR,-6.6447,-51.995,82.38,51,41,2.84,scattered clouds
82,Port Moresby,PG,-9.4431,147.1797,83.62,74,40,3.44,haze
83,Barcelona,ES,41.3888,2.159,79.32,65,0,3.44,clear sky
84,Beringovskiy,RU,63.05,179.3167,55.58,61,8,8.61,clear sky
85,Torbay,CA,47.6666,-52.7314,70.57,80,75,24.16,broken clouds
86,Lazaro Cardenas,MX,17.9583,-102.2,84.51,67,29,6.78,scattered clouds
87,Mehamn,NO,71.0357,27.8492,49.95,81,88,8.05,overcast clouds
88,Alto Araguaia,BR,-17.3147,-53.2153,71.65,32,5,3.09,clear sky
89,Poum,NC,-20.2333,164.0167,76.62,79,15,8.05,few clouds
90,Kamphaeng Phet,TH,16.25,99.5,75.99,88,100,1.99,overcast clouds
91,Thompson,CA,55.7435,-97.8558,53.76,94,100,13.8,mist
92,Haverfordwest,GB,51.8017,-4.9691,51.39,91,100,3.44,overcast clouds
93,Blagoyevo,RU,63.3667,47.9167,61.83,83,68,4.0,broken clouds
94,Suluq,LY,31.6682,20.2521,77.81,71,0,7.4,clear sky
95,Uruzgan,AF,32.8333,66.0,74.59,15,0,4.59,clear sky
96,Zhigansk,RU,66.7697,123.3711,49.62,98,100,17.31,heavy intensity rain
97,Aras,ES,42.5617,-2.356,66.61,68,100,6.91,light rain
98,Morros,BR,-9.4467,-46.3003,81.73,41,96,1.23,overcast clouds
99,Narsaq,GL,60.9167,-46.05,46.62,94,100,0.83,light rain
100,Tasiilaq,GL,65.6145,-37.6368,48.36,74,49,2.35,scattered clouds
101,Tessalit,ML,20.1986,1.0114,88.86,37,95,7.34,overcast clouds
102,Vestmannaeyjar,IS,63.4427,-20.2734,53.42,96,100,21.65,overcast clouds
103,Mildura,AU,-34.2,142.15,52.07,86,8,20.29,clear sky
104,Dumas,US,35.8656,-101.9732,96.62,28,0,16.11,clear sky
105,Ayan,RU,56.45,138.1667,54.9,98,100,19.91,moderate rain
106,La Crosse,US,43.8014,-91.2396,87.73,62,0,13.8,clear sky
107,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,76.19,77,42,2.77,scattered clouds
108,Barrow,US,71.2906,-156.7887,41.02,93,100,12.66,mist
109,Yerbogachen,RU,61.2767,108.0108,47.64,88,100,6.58,overcast clouds
110,Udachnyy,RU,66.4167,112.4,52.45,81,100,26.37,overcast clouds
111,Camacha,PT,33.0833,-16.3333,67.42,83,75,9.22,broken clouds
112,Bubaque,GW,11.2833,-15.8333,79.03,83,100,12.24,overcast clouds
113,Waingapu,ID,-9.6567,120.2641,75.11,66,95,2.75,overcast clouds
114,Asau,RO,46.4333,26.4,65.32,78,3,4.21,clear sky
115,Pevek,RU,69.7008,170.3133,34.86,98,100,8.41,snow
116,Port Blair,IN,11.6667,92.75,80.64,89,75,10.36,very heavy rain
117,Burnie,AU,-41.0667,145.9167,54.91,73,34,5.73,scattered clouds
118,Castro,BR,-24.7911,-50.0119,55.54,67,0,3.44,clear sky
119,Traverse City,US,44.7631,-85.6206,86.11,54,40,6.91,scattered clouds
120,Kahului,US,20.8947,-156.47,91.42,43,40,13.8,scattered clouds
121,Bethel,US,41.3712,-73.414,84.56,84,94,4.68,overcast clouds
122,Aquiraz,BR,-3.9014,-38.3911,80.19,87,9,9.28,clear sky
123,Ostrovnoy,RU,68.0531,39.5131,60.6,87,92,16.91,overcast clouds
124,Sanandaj,IR,35.3144,46.9923,69.82,28,0,0.0,clear sky
125,Umm Lajj,SA,25.0213,37.2685,87.75,68,44,5.61,scattered clouds
126,Ancona,IT,43.55,13.1667,80.67,54,0,3.44,clear sky
127,Rocha,UY,-34.4833,-54.3333,42.3,93,0,4.21,clear sky
128,Luena,AO,-11.7833,19.9167,57.36,40,44,4.47,scattered clouds
129,Bocana De Paiwas,NI,12.7857,-85.1227,72.07,98,98,10.85,overcast clouds
130,Dikson,RU,73.5069,80.5464,41.77,100,100,6.98,overcast clouds
131,Severo-Kurilsk,RU,50.6789,156.125,57.4,83,100,2.89,overcast clouds
132,Krasnoselkup,RU,65.7,82.4667,55.47,79,65,4.41,broken clouds
133,Saskylakh,RU,71.9167,114.0833,58.28,69,2,7.34,clear sky
134,Inta,RU,66.0317,60.1659,57.0,94,88,10.36,overcast clouds
135,Roald,NO,62.5833,6.1333,55.17,87,75,17.27,light rain
136,Abu Dhabi,AE,24.4667,54.3667,91.51,80,48,1.14,scattered clouds
137,Kenai,US,60.5544,-151.2583,63.14,75,0,28.77,clear sky
138,Tracy,US,37.7397,-121.4252,91.4,44,93,5.01,overcast clouds
139,Synya,RU,65.3718,58.0387,61.7,80,100,4.05,overcast clouds
140,Ferkessedougou,CI,9.6,-5.2,73.42,87,97,4.85,overcast clouds
141,Haines Junction,CA,60.7522,-137.5108,62.55,55,100,6.91,overcast clouds
142,Bonavista,CA,48.6499,-53.1147,67.32,86,17,16.08,few clouds
143,Catuday,PH,16.2923,119.8062,79.02,83,100,14.16,overcast clouds
144,Rupert,US,42.6191,-113.6772,73.35,64,100,5.75,overcast clouds
145,Arman,RU,59.7,150.1667,62.02,90,100,6.96,overcast clouds
146,Kulhudhuffushi,MV,6.6221,73.07,80.08,81,100,17.74,overcast clouds
147,Tura,IN,25.5198,90.2201,74.3,97,98,5.3,overcast clouds
148,Sungaipenuh,ID,-2.0833,101.3833,62.64,93,59,1.72,broken clouds
149,Sitka,US,57.0531,-135.33,57.09,88,100,6.91,moderate rain
150,Northam,GB,51.0333,-4.2167,58.6,74,100,8.68,overcast clouds
151,Terney,RU,45.0503,136.6092,69.53,98,99,3.85,overcast clouds
152,Huarmey,PE,-10.0681,-78.1522,63.23,83,82,9.1,broken clouds
153,Georgetown,MY,5.4112,100.3354,82.89,90,20,7.0,few clouds
154,Hermanus,ZA,-34.4187,19.2345,54.81,85,69,5.01,broken clouds
155,Goderich,CA,43.7501,-81.7165,80.92,65,1,4.61,clear sky
156,Pangnirtung,CA,66.1451,-65.7125,40.98,97,100,2.15,light rain
157,Gizo,SB,-8.103,156.8419,83.75,67,75,6.98,broken clouds
158,Fortuna,US,40.5982,-124.1573,72.93,69,20,18.41,few clouds
159,Anchorage,US,61.2181,-149.9003,62.58,79,100,15.01,overcast clouds
160,Mantua,IT,45.1667,10.7833,85.24,70,21,3.0,few clouds
161,Coihueco,CL,-36.6167,-71.8333,50.74,93,100,4.61,light rain
162,Japura,ID,-0.3167,102.35,72.57,89,73,1.19,light rain
163,Santa Luzia,BR,-19.7697,-43.8514,79.7,44,0,3.44,clear sky
164,Sao Joao Da Barra,BR,-21.6403,-41.0511,72.09,82,6,18.16,clear sky
165,Garowe,SO,8.4054,48.4845,73.65,63,0,28.99,clear sky
166,Dwarka,IN,22.2394,68.9678,81.25,82,100,9.71,overcast clouds
167,Ilulissat,GL,69.2167,-51.1,40.71,99,100,2.75,light rain
168,Nioro,GM,13.35,-15.75,74.3,96,100,6.06,overcast clouds
169,Surin,TH,14.8818,103.4936,79.0,99,100,8.95,overcast clouds
170,Balabac,PH,7.9868,117.0645,79.25,88,100,16.28,moderate rain
171,Esperance,AU,-33.8667,121.9,50.72,83,89,10.36,overcast clouds
172,Mount Isa,AU,-20.7333,139.5,67.77,37,40,13.8,scattered clouds
173,Jalu,LY,29.0331,21.5482,83.8,36,0,14.83,clear sky
174,Taoudenni,ML,22.6783,-3.9836,101.43,15,32,10.54,scattered clouds
175,West Plains,US,36.7281,-91.8524,90.43,73,0,8.05,clear sky
176,Thunder Bay,CA,48.4001,-89.3168,67.91,88,100,4.61,thunderstorm with light rain
177,New Norfolk,AU,-42.7826,147.0587,48.7,69,85,3.0,overcast clouds
178,Pingxiang,CN,27.6167,113.85,83.01,75,82,1.21,broken clouds
179,Asosa,ET,10.0667,34.5333,59.56,92,94,2.86,overcast clouds
180,Talara,PE,-4.5772,-81.2719,63.1,87,91,18.39,overcast clouds
181,Okahandja,NA,-21.9833,16.9167,58.48,23,2,2.75,clear sky
182,Middletown,US,39.5151,-84.3983,83.07,77,75,8.05,broken clouds
183,Lorengau,PG,-2.0226,147.2712,82.94,70,100,2.42,overcast clouds
184,Amapa,BR,1.0,-52.0,71.2,98,56,2.71,broken clouds
185,Port Lincoln,AU,-34.7333,135.8667,55.26,67,12,12.75,few clouds
186,Sobolevo,RU,54.4299,31.8996,63.86,89,25,6.42,scattered clouds
187,Chokurdakh,RU,70.6333,147.9167,53.1,53,23,4.5,few clouds
188,Altay,CN,47.8667,88.1167,64.04,42,52,3.87,broken clouds
189,Srednekolymsk,RU,67.45,153.6833,60.46,51,100,2.57,overcast clouds
190,Sao Geraldo Do Araguaia,BR,-6.4006,-48.555,80.38,61,78,3.0,broken clouds
191,Smoky Lake,CA,54.1169,-112.4686,63.18,63,97,10.36,overcast clouds
192,Itanhem,BR,-17.1664,-40.33,67.91,86,12,7.27,few clouds
193,Kamaishi,JP,39.2667,141.8833,73.0,67,100,3.09,overcast clouds
194,Artyom,AZ,40.4723,50.333,80.74,70,83,20.49,broken clouds
195,Westport,US,41.1415,-73.3579,85.82,69,0,5.01,clear sky
196,Port Hardy,CA,50.6996,-127.4199,66.38,68,20,11.5,few clouds
197,Bocaiuva,BR,-17.1078,-43.815,76.71,31,2,2.06,clear sky
198,Kumbo,CM,6.2,10.6667,58.84,98,100,2.28,light rain
199,Gilleleje,DK,56.122,12.3106,57.97,75,29,1.01,scattered clouds
200,Fort Nelson,CA,58.8053,-122.7002,76.59,38,20,8.05,few clouds
201,Kamyshla,RU,54.1169,52.1426,62.69,66,3,4.43,clear sky
202,Mankera,PK,31.3866,71.4407,89.78,60,74,8.43,broken clouds
203,Pleszew,PL,51.8964,17.7855,67.42,93,94,13.29,overcast clouds
204,Padang,ID,-0.9492,100.3543,73.45,79,73,3.44,broken clouds
205,Bambous Virieux,MU,-20.3428,57.7575,68.25,83,40,14.97,scattered clouds
206,Arraial Do Cabo,BR,-22.9661,-42.0278,70.38,83,26,18.03,scattered clouds
207,Konstantinovskiy,RU,57.8301,39.5899,62.31,64,78,4.56,broken clouds
208,Ketchikan,US,55.3422,-131.6461,66.67,63,75,10.36,broken clouds
209,Saiha,IN,22.4833,92.9667,72.57,99,100,1.45,overcast clouds
210,Miri,MY,4.4148,114.0089,73.54,100,40,8.05,moderate rain
211,Roros,NO,62.5747,11.3842,39.04,93,20,2.3,few clouds
212,Rendsburg,DE,54.3,9.6667,53.22,91,6,5.75,clear sky
213,Teguise,ES,29.0605,-13.564,70.02,78,20,17.27,few clouds
214,Yulara,AU,-25.2406,130.9889,53.78,38,0,10.42,clear sky
215,Coquimbo,CL,-29.9533,-71.3436,55.13,87,0,6.91,clear sky
216,Sfantu Gheorghe,RO,45.8667,25.7833,69.26,76,48,2.66,scattered clouds
217,Flinders,AU,-34.5833,150.8552,63.37,57,2,8.01,clear sky
218,Auki,SB,-8.7676,160.7034,87.1,60,91,5.64,overcast clouds
219,Staroaleyskoye,RU,51.0061,82.0,54.28,62,0,8.52,clear sky
220,Kamenka,RU,51.3223,42.7678,66.18,59,4,7.99,clear sky
221,Lavrentiya,RU,65.5833,-171.0,43.32,77,96,11.7,overcast clouds
222,Adrar,MR,20.5022,-10.0711,95.74,29,31,15.57,scattered clouds
223,Mackenzie,CA,55.2999,-123.1698,70.02,43,0,10.36,clear sky
224,Chabahar,IR,25.2919,60.643,80.2,87,80,8.05,broken clouds
225,Staryy Nadym,RU,65.6118,72.6842,61.43,67,93,10.25,overcast clouds
226,Marzuq,YE,14.4,46.4667,80.35,55,80,5.99,broken clouds
227,Palmas,BR,-10.2128,-48.3603,85.87,48,20,3.44,few clouds
228,Laguna,US,38.421,-121.4238,91.92,44,0,12.66,clear sky
229,Pisco,PE,-13.7,-76.2167,61.02,82,20,14.97,few clouds
230,Lichinga,MZ,-13.3128,35.2406,55.85,58,67,3.29,broken clouds
231,Altamont,US,42.2068,-121.7372,88.9,24,20,14.97,haze
232,Luderitz,NA,-26.6481,15.1594,60.75,60,63,5.26,broken clouds
233,Victoria,HK,22.2855,114.1577,82.96,92,96,5.01,overcast clouds
234,Baykit,RU,61.67,96.37,51.48,80,100,3.69,overcast clouds
235,Barcelos,PT,41.5388,-8.6151,72.91,82,74,2.06,broken clouds
236,Skjervoy,NO,70.0311,20.9714,46.4,74,8,10.51,clear sky
237,Tsaratanana,MG,-16.7833,47.65,60.33,77,0,6.69,clear sky
238,Kavaratti,IN,10.5669,72.642,80.29,83,100,23.87,moderate rain
239,Omboue,GA,-1.5746,9.2618,71.46,83,69,8.3,broken clouds
240,Bulawayo,ZW,-20.15,28.5833,58.08,46,0,6.35,clear sky
241,Kristiinankaupunki,FI,62.2743,21.376,61.97,99,100,6.46,light rain
242,Necochea,AR,-38.5473,-58.7368,43.25,71,51,7.4,broken clouds
243,Aldan,RU,58.6031,125.3894,49.26,98,100,5.17,moderate rain
244,Cueto,CU,20.6439,-75.9356,78.89,82,79,12.75,broken clouds
245,Agropoli,IT,40.3469,14.9966,74.64,77,0,1.39,clear sky
246,Iqaluit,CA,63.7506,-68.5145,44.33,91,75,3.44,broken clouds
247,Queimadas,BR,-10.9783,-39.6264,71.22,65,0,11.61,clear sky
248,Wettingen,CH,47.4705,8.3164,68.72,87,75,2.3,broken clouds
249,Ponta Do Sol,PT,32.6667,-17.1,71.71,82,26,5.86,scattered clouds
250,Ust-Ilimsk,RU,58.0006,102.6619,50.88,95,100,7.61,overcast clouds
251,Vila,PT,42.0304,-8.1588,60.69,78,73,5.64,broken clouds
252,Makakilo City,US,21.3469,-158.0858,83.95,62,100,11.5,light rain
253,Celestun,MX,20.8667,-90.4,83.64,72,20,17.11,few clouds
